neighbourhood,CommunityArea,number_of_crimes,crime_rate
Rogers Park,1,14867,1.503472741908734
West Ridge,2,12483,1.2623831463810267
Uptown,3,13954,1.411142708051017
Lincoln Square,4,7187,0.7268082730946438
North Center,5,5548,0.5610591761693452
Lake View,6,21016,2.1253099578902233
Lincoln Park,7,16100,1.628163795300371
Near North Side,8,39079,3.951988382393987
Edison Park,9,1040,0.10517331348524135
Norwood Park,10,4541,0.4592230928235394
Jefferson Park,11,4098,0.4144233064062683
Forest Glen,12,1924,0.1945706299476965
North Park,13,3530,0.3569824967335596
Albany Park,14,9296,0.940087617460388
Portage Park,15,12951,1.3097111374493855
Irving Park,16,11443,1.1572098328957854
Dunning,17,6233,0.6303319836091437
Montclare,18,2391,0.24179749283001162
Belmont Cragin,19,18267,1.8473085744566382
Hermosa,20,6096,0.616477422121184
Avondale,21,9165,0.9268398250886893
Logan Square,22,20562,2.0793977614264736
Humboldt Park,23,31173,3.1524689435340663
West Town,24,30517,3.0861288534895293
Austin,25,62631,6.33375942009053
West Garfield Park,26,20106,2.033283308590637
East Garfield Park,27,19168,1.9384250700818328
Near West Side,28,33017,3.3389493185982824
North Lawndale,29,31921,3.2281128266946046
South Lawndale,30,17255,1.744966850180615
Lower West Side,31,9895,1.0006634009004454
Loop,32,31882,3.2241688274389086
Near South Side,33,7372,0.7455169875126916
Armour Square,34,3758,0.3800397231514779
Douglas,35,10741,1.0862178462932475
Oakland,36,2442,0.24695503031823018
Fuller Park,37,3533,0.3572858812916901
Grand Boulevard,38,13970,1.4127607590277131
Kenwood,39,5619,0.5682392773784338
Washington Park,40,10784,1.090566358293118
Hyde Park,41,6457,0.6529846972828879
Woodlawn,42,14868,1.5035738700947774
South Shore,43,32221,3.258451282507655
Chatham,44,21414,2.165558975935537
Avalon Park,45,4659,0.4711562187766726
South Chicago,46,16838,1.7027963966004749
Burnside,47,1311,0.1325790519030302
Calumet Heights,48,4742,0.4795498582182832
Roseland,49,9785,0.9895393004356603
Pullman,50,4284,0.4332331490103596
South Deering,51,6732,0.6807949484448507
East Side,52,1174,0.11872449041507054
West Pullman,53,15371,1.5544413476746586
Riverdale,54,4869,0.49239313784580785
Hegewisch,55,2174,0.21985267645857182
Garfield Ridge,56,8051,0.8141830258362289
Archer Heights,57,3391,0.34292567887351294
Brighton Park,58,9675,0.9784151999708751
McKinley Park,59,4078,0.41240074268539834
Bridgeport,60,6246,0.6316466500277091
New City,61,19229,1.9445938894304866
West Elsdon,62,3924,0.3968270020346991
Gage Park,63,8943,0.9043893677870322
Clearing,64,3787,0.3829724405467394
West Lawn,65,7637,0.7723159568142194
Chicago Lawn,66,23154,2.341522019651229
West Englewood,67,27728,2.8040823426142043
Englewood,68,25204,2.5488348010404067
Greater Grand Crossing,69,24147,2.441942308392426
Ashburn,70,9197,0.9300759270420814
Auburn Gresham,71,28756,2.9080421178669233
Beverly,72,3701,0.3742754165469983
Washington Heights,73,11993,1.2128303352197112
Mount Greenwood,74,2282,0.23077452055126996
Morgan Park,75,7923,0.8012386180226607
O'Hare,76,5872,0.5938247084474396
Edgewater,77,9472,0.9578861782040444
