neighbourhood,room_type_x,P_price,number_of_reviews_x,reviews_per_month_x,availability_365_x,room_type_y,E_price,number_of_reviews_y,reviews_per_month_y,availability_365_y,neighirhood_cluster,number_of_crimes,room_type,S_price,number_of_reviews,reviews_per_month,availability_365
"Brightwood Park, Crestwood, Petworth",Private room,88.4931506849315,16.815068493150687,1.2645890410958904,149.93150684931507,Entire home/apt,272.68636363636364,19.772727272727273,1.5152272727272724,148.03181818181818,Cluster 18,1411.0,Shared room,72.0,3.8,0.256,266.6
"Brookland, Brentwood, Langdon",Private room,90.52,13.0,1.1450000000000002,146.5,Entire home/apt,187.33333333333334,24.864197530864196,1.8319753086419752,168.40740740740742,Cluster 22,1244.0,Shared room,93.5,11.0,0.6,364.5
"Capitol Hill, Lincoln Park",Private room,141.8130081300813,34.45528455284553,2.030813008130081,127.92682926829268,Entire home/apt,378.4177215189873,23.98372513562387,1.6400361663652796,137.62206148282098,Cluster 26,1461.0,Shared room,213.71428571428572,6.285714285714286,0.8371428571428571,100.71428571428571
"Capitol View, Marshall Heights, Benning Heights",Private room,114.13513513513513,13.027027027027026,1.1351351351351349,224.9189189189189,Entire home/apt,147.0,14.857142857142858,1.5657142857142858,184.21428571428572,Cluster 33,923.0,Shared room,15.0,5.5,0.9283333333333333,358.8333333333333
"Cathedral Heights, McLean Gardens, Glover Park",Private room,118.72972972972973,19.324324324324323,0.9305405405405406,125.67567567567568,Entire home/apt,284.3168316831683,7.178217821782178,0.8044554455445546,107.86138613861387,Cluster 14,235.0,Shared room,35.875,0.625,0.2025,32.5
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Private room,133.0,16.3125,1.5075,118.0,Entire home/apt,304.0113636363636,16.329545454545453,1.18875,134.60227272727272,Cluster 15,328.0,Shared room,55.0,14.5,1.695,57.5
"Colonial Village, Shepherd Park, North Portal Estates",Private room,108.93333333333334,9.4,0.5399999999999998,274.2,Entire home/apt,421.05882352941177,5.235294117647059,1.1511764705882352,106.3529411764706,Cluster 16,150.0,,,,,
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Private room,91.65612648221344,20.26086956521739,1.3118181818181816,127.46640316205534,Entire home/apt,241.18406072106262,18.18595825426945,1.378045540796963,130.5673624288425,Cluster 2,2654.0,Shared room,43.18181818181818,14.272727272727273,1.8513636363636365,152.0909090909091
"Congress Heights, Bellevue, Washington Highlands",Private room,88.7,10.3,0.966,169.4,Entire home/apt,280.95652173913044,17.82608695652174,1.477391304347826,100.3913043478261,Cluster 39,1284.0,Shared room,60.0,0.0,0.0,78.5
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Private room,92.5,5.333333333333333,1.6766666666666667,147.08333333333334,Entire home/apt,259.5,13.333333333333334,2.7516666666666665,143.0,Cluster 31,950.0,Shared room,38.666666666666664,0.0,0.0,72.66666666666667
"Douglas, Shipley Terrace",Private room,135.5625,36.0625,1.5293750000000002,255.4375,Entire home/apt,438.75,1.5,0.28,219.0,Cluster 38,568.0,,,,,
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Private room,150.327868852459,28.278688524590162,1.9063934426229505,85.06557377049181,Entire home/apt,383.8295165394402,13.010178117048346,0.9033587786259546,179.529262086514,Cluster 8,2307.0,Shared room,52.333333333333336,6.666666666666667,0.93,12.0
"Dupont Circle, Connecticut Avenue/K Street",Private room,145.61016949152543,15.14406779661017,1.1778813559322037,128.40677966101694,Entire home/apt,276.57710280373834,25.10514018691589,1.4347196261682227,124.30373831775701,Cluster 6,1605.0,Shared room,95.18181818181819,21.363636363636363,1.9127272727272726,134.63636363636363
"Eastland Gardens, Kenilworth",Private room,50.375,83.375,3.26375,144.0,Entire home/apt,205.0,8.0,0.97,36.0,Cluster 29,77.0,,,,,
"Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room,106.66822429906541,28.16822429906542,1.823271028037383,155.52336448598132,Entire home/apt,266.6933333333333,26.6,2.095366666666667,130.94666666666666,Cluster 21,1103.0,Shared room,57.81818181818182,21.272727272727273,2.398181818181818,131.86363636363637
"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Private room,76.6,6.6,0.637,203.4,Entire home/apt,246.375,3.125,0.31375,159.5,Cluster 35,377.0,,,,,
"Friendship Heights, American University Park, Tenleytown",Private room,230.10714285714286,24.821428571428573,1.5067857142857144,134.25,Entire home/apt,222.72093023255815,15.883720930232558,1.0330232558139536,156.46511627906978,Cluster 11,508.0,,,,,
"Georgetown, Burleith/Hillandale",Private room,131.890625,11.71875,1.2607812500000002,158.4375,Entire home/apt,328.07643312101914,20.089171974522294,1.5050318471337576,158.5859872611465,Cluster 4,1064.0,Shared room,35.0,2.5,1.775,215.5
"Hawthorne, Barnaby Woods, Chevy Chase",Private room,74.88888888888889,23.88888888888889,1.4816666666666667,252.38888888888889,Entire home/apt,315.125,10.78125,0.66125,150.21875,Cluster 10,256.0,Shared room,35.0,11.0,5.16,32.0
Historic Anacostia,Private room,66.69047619047619,29.166666666666668,1.8350000000000002,206.95238095238096,Entire home/apt,202.83333333333334,7.166666666666667,1.1333333333333333,118.83333333333333,Cluster 28,378.0,,,,,
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,125.07920792079207,20.831683168316832,1.6933663366336633,129.43564356435644,Entire home/apt,325.04918032786884,16.33606557377049,1.5174999999999996,139.0860655737705,Cluster 3,1459.0,Shared room,76.8,11.0,0.518,196.8
