,neighbourhood,price,number_of_reviews,reviews_per_month,availability_365,airbnb_counts_per_neighbourhood,total_reviews_per_neighbourhood,CommunityArea,number_of_crimes,crime_rate
0,Albany Park,84.76666666666667,16.033333333333335,1.1976666666666667,140.56666666666666,30,481,14.0,9296.0,0.940087617460388
1,Archer Heights,39.333333333333336,53.0,4.93,181.33333333333334,3,159,57.0,3391.0,0.34292567887351294
2,Armour Square,94.27450980392157,21.901960784313726,1.9154901960784316,188.13725490196077,51,1117,34.0,3758.0,0.3800397231514779
3,Ashburn,49.5,17.5,0.945,198.5,2,35,70.0,9197.0,0.9300759270420814
4,Auburn Gresham,68.33333333333333,8.0,1.3333333333333333,262.6666666666667,3,24,71.0,28756.0,2.9080421178669233
5,Austin,121.86666666666666,24.666666666666668,1.0606666666666669,247.93333333333334,15,370,25.0,62631.0,6.33375942009053
6,Avondale,89.5111111111111,30.585185185185185,1.9048148148148147,165.45925925925926,135,4129,21.0,9165.0,0.9268398250886893
7,Belmont Cragin,58.3125,5.625,0.875625,270.0,16,90,19.0,18267.0,1.8473085744566382
8,Beverly,81.25,23.25,0.9425,199.75,4,93,72.0,3701.0,0.3742754165469983
9,Bridgeport,82.6,28.87272727272727,2.677636363636364,191.43636363636364,55,1588,60.0,6246.0,0.6316466500277091
10,Brighton Park,69.0,3.0,2.145,76.0,2,6,58.0,9675.0,0.9784151999708751
11,Calumet Heights,98.0,7.0,0.92,72.0,1,7,48.0,4742.0,0.4795498582182832
12,Chatham,129.0,104.25,3.3049999999999997,230.5,4,417,44.0,21414.0,2.165558975935537
13,Chicago Lawn,48.0,1.0,1.0,247.0,2,2,66.0,23154.0,2.341522019651229
14,Clearing,69.0,0.0,0.0,87.0,1,0,64.0,3787.0,0.3829724405467394
15,Douglas,143.05084745762713,26.135593220338983,1.774406779661017,222.89830508474577,59,1542,35.0,10741.0,1.0862178462932475
16,Dunning,88.66666666666667,11.0,0.9716666666666668,232.66666666666666,12,132,17.0,6233.0,0.6303319836091437
17,East Garfield Park,77.81481481481481,50.5,3.849074074074073,227.6851851851852,54,2727,27.0,19168.0,1.9384250700818328
18,Edgewater,114.13375796178345,23.97452229299363,1.6281528662420388,163.54777070063693,157,3764,77.0,9472.0,0.9578861782040444
19,Edison Park,127.25,33.5,2.0875,138.75,4,134,9.0,1040.0,0.10517331348524135
20,Englewood,30.9375,4.1875,0.5018750000000001,191.125,16,67,68.0,25204.0,2.5488348010404067
21,Forest Glen,121.2,11.4,0.9309999999999998,222.1,10,114,12.0,1924.0,0.1945706299476965
22,Fuller Park,98.3076923076923,0.23076923076923078,0.09538461538461539,355.9230769230769,13,3,37.0,3533.0,0.3572858812916901
23,Garfield Ridge,53.333333333333336,23.666666666666668,2.1133333333333333,225.33333333333334,3,71,56.0,8051.0,0.8141830258362289
24,Grand Boulevard,107.58620689655173,15.586206896551724,1.432413793103448,204.86206896551724,58,904,38.0,13970.0,1.4127607590277131
25,Greater Grand Crossing,54.68181818181818,4.2272727272727275,0.4731818181818182,76.13636363636364,22,93,69.0,24147.0,2.441942308392426
26,Hegewisch,108.0,4.0,0.18,351.0,1,4,55.0,2174.0,0.21985267645857182
27,Hermosa,71.0,22.77777777777778,1.9444444444444444,205.77777777777777,9,205,20.0,6096.0,0.616477422121184
28,Humboldt Park,77.57142857142857,32.0,2.093265306122449,191.24489795918367,49,1568,23.0,31173.0,3.1524689435340663
29,Hyde Park,96.31868131868131,24.373626373626372,1.9430769230769234,174.4945054945055,91,2218,41.0,6457.0,0.6529846972828879
30,Irving Park,83.91752577319588,22.298969072164947,1.5439175257731959,205.8556701030928,97,2163,16.0,11443.0,1.1572098328957854
31,Jefferson Park,73.88888888888889,15.166666666666666,1.7444444444444445,224.55555555555554,18,273,11.0,4098.0,0.4144233064062683
32,Kenwood,103.69811320754717,13.075471698113208,1.1303773584905663,159.32075471698113,53,693,39.0,5619.0,0.5682392773784338
33,Lake View,183.0399274047187,22.577132486388386,1.617931034482759,156.1197822141561,551,12440,6.0,21016.0,2.1253099578902233
34,Lincoln Park,179.38888888888889,26.29861111111111,1.760347222222221,156.71527777777777,288,7574,7.0,16100.0,1.628163795300371
35,Lincoln Square,114.72043010752688,23.849462365591396,1.4986021505376341,152.8494623655914,93,2218,4.0,7187.0,0.7268082730946438
36,Logan Square,124.3277108433735,31.339759036144578,2.0518313253012055,164.89879518072289,415,13006,22.0,20562.0,2.0793977614264736
37,Loop,161.69473684210527,18.45263157894737,1.7634385964912274,187.6982456140351,285,5259,32.0,31882.0,3.2241688274389086
38,Lower West Side,79.26404494382022,35.78651685393258,2.2770786516853936,175.8932584269663,178,6370,31.0,9895.0,1.0006634009004454
39,Mckinley Park,85.5,23.5,1.283,178.5,10,235,0.0,0.0,0.0
40,Montclare,120.0,6.0,0.27,363.0,1,6,18.0,2391.0,0.24179749283001162
41,Morgan Park,60.6,42.6,2.232,284.0,5,213,75.0,7923.0,0.8012386180226607
42,Mount Greenwood,125.0,9.0,1.09,298.0,1,9,74.0,2282.0,0.23077452055126996
43,Near North Side,209.35560344827587,20.691810344827587,1.7434913793103448,191.64008620689654,464,9601,8.0,39079.0,3.951988382393987
44,Near South Side,253.5625,22.875,1.7608333333333335,144.3125,96,2196,33.0,7372.0,0.7455169875126916
45,Near West Side,120.29515418502203,28.894273127753305,2.2838766519823794,154.94273127753303,227,6559,28.0,33017.0,3.3389493185982824
46,New City,79.75,13.5,1.4375,192.25,4,54,61.0,19229.0,1.9445938894304866
47,North Center,187.92857142857142,20.821428571428573,1.4141071428571428,179.41071428571428,112,2332,5.0,5548.0,0.5610591761693452
48,North Lawndale,55.63157894736842,17.0,1.5968421052631578,117.26315789473684,19,323,29.0,31921.0,3.2281128266946046
49,North Park,55.666666666666664,8.777777777777779,0.72,116.77777777777777,9,79,13.0,3530.0,0.3569824967335596
50,Norwood Park,71.83333333333333,39.666666666666664,2.655,178.41666666666666,12,476,10.0,4541.0,0.4592230928235394
51,Oakland,100.04347826086956,45.82608695652174,1.8782608695652172,281.6521739130435,23,1054,36.0,2442.0,0.24695503031823018
52,Ohare,90.0,38.0,2.22,265.0,3,114,0.0,0.0,0.0
