neighbourhood,room_type_x,P_price,number_of_reviews_x,reviews_per_month_x,availability_365_x,room_type_y,E_price,number_of_reviews_y,reviews_per_month_y,availability_365_y,CommunityArea,number_of_crimes,crime_rate,room_type,S_price,number_of_reviews,reviews_per_month,availability_365
Albany Park,Private room,52.666666666666664,17.533333333333335,1.2506666666666668,182.93333333333334,"Entire home,apt",116.86666666666666,14.533333333333333,1.1446666666666667,98.2,14.0,9296.0,0.940087617460388,,,,,
Archer Heights,Private room,39.333333333333336,53.0,4.93,181.33333333333334,,,,,,,,,,,,,
Armour Square,Private room,70.31428571428572,23.571428571428573,2.0745714285714287,175.8,"Entire home,apt",153.93333333333334,19.333333333333332,1.6600000000000001,212.26666666666668,34.0,3758.0,0.3800397231514779,Shared room,38.0,2.0,0.18,258.0
Ashburn,Private room,49.5,17.5,0.945,198.5,,,,,,,,,,,,,
Auburn Gresham,Private room,68.33333333333333,8.0,1.3333333333333333,262.6666666666667,,,,,,,,,,,,,
Austin,Private room,48.25,38.375,1.5425,328.875,"Entire home,apt",206.0,9.0,0.5099999999999999,155.42857142857142,25.0,62631.0,6.33375942009053,,,,,
Avondale,Private room,49.45,29.283333333333335,1.968666666666667,146.23333333333332,"Entire home,apt",135.13846153846154,33.58461538461538,2.047538461538461,186.07692307692307,21.0,9165.0,0.9268398250886893,Shared room,33.3,18.9,0.594,146.8
Belmont Cragin,Private room,43.583333333333336,6.75,1.075,282.25,"Entire home,apt",151.5,2.5,0.275,172.0,19.0,18267.0,1.8473085744566382,Shared room,53.5,2.0,0.28,294.5
Beverly,Private room,75.0,29.666666666666668,1.1966666666666665,266.3333333333333,"Entire home,apt",100.0,4.0,0.18,0.0,72.0,3701.0,0.3742754165469983,,,,,
Bridgeport,Private room,55.0,29.1875,2.6600000000000006,171.46875,"Entire home,apt",121.0,28.434782608695652,2.7021739130434783,219.2173913043478,60.0,6246.0,0.6316466500277091,,,,,
Calumet Heights,Private room,98.0,7.0,0.92,72.0,,,,,,,,,,,,,
Chatham,Private room,101.33333333333333,139.0,4.406666666666666,278.0,"Entire home,apt",212.0,0.0,0.0,88.0,44.0,21414.0,2.165558975935537,,,,,
Chicago Lawn,Private room,45.0,2.0,2.0,129.0,,,,,,,,,Shared room,51.0,0.0,0.0,365.0
Clearing,Private room,69.0,0.0,0.0,87.0,,,,,,,,,,,,,
Douglas,Private room,70.75757575757575,34.96969696969697,1.6781818181818182,258.75757575757575,"Entire home,apt",234.80769230769232,14.923076923076923,1.8965384615384617,177.3846153846154,35.0,10741.0,1.0862178462932475,,,,,
Dunning,Private room,65.11111111111111,9.333333333333334,0.5877777777777777,244.77777777777777,"Entire home,apt",159.33333333333334,16.0,2.123333333333333,196.33333333333334,17.0,6233.0,0.6303319836091437,,,,,
